customer_tweet_id,customer_text,brand_text,true_intent,should_escalate,escalation_reason
1895691,"iPhone 7 Plus, IOS 11.0.3, I’ve tried playing from the show, my stations, episodes, etc. and none of them auto-play the next episode. All episodes are downloaded. I’ve searched online and others are having the same problem.",We'd like to look into this further. Click here to meet us in DM. We'll pick up there:,update_glitch,False,"Standard issue, safe to auto-handle."
720896,"Individually, yes affects multiple WiFi networks. (work and at home)",Let's meet up in DM and work together there.,other,False,"Standard issue, safe to auto-handle."
1239750,"Hi. How are you doing? I hope you're doing fine. How do you uninstall completely the XCode Beta? Thank you. God bless, Prv. 31",We're here for you. We'll need to refer you to the developer page for assistance with your issue:,other,False,"Standard issue, safe to auto-handle."
1261334,"Hey guys, yes I have",Thanks. Do the volume buttons on the 6S work without issue? Which iOS version are you using?,other,False,"Standard issue, safe to auto-handle."
1924737,My Macbookpro does not turn on now my last use was end of September,You've come to the right place. Begin with the steps in the article below and DM us the results:,hardware_failure,False,"Standard issue, safe to auto-handle."
1841385,I now have to charge my iPad Air 2 three times a day and it will no longer charge via USB. iOS 11.0.3,"Hi, can you send us a DM and tell us more about what you're experiencing? We'll look into this together there.",battery_issue,False,"Standard issue, safe to auto-handle."
2007269,"iPhone won’t stay powered on, iPod charging port broken, iPad is starting not to charge. sucks. #applesucks","We'd love to help resolve these issues. Please DM us and let us know which iPhone and iOS version you're using, to start.",hardware_failure,False,"Standard issue, safe to auto-handle."
801068,"Yes, I am using from Control Center and it is causing a lot of inconvenience and battery drainage, can you do anything about it",We recommend optimizing your settings for better performance. Please report back with the result.,battery_issue,False,"Standard issue, safe to auto-handle."
1327363,Unfortunately tried all that Still can’t use Bluetooth since updating my iphone. Have already taken my new car and phone to BMW - what’s the issue?,Let us know more about what your car manufacturer suggested via DM and we'll investigate further in order to find a solution.,update_glitch,False,"Standard issue, safe to auto-handle."
354540,Yes I’ve tried 3 different pairs,Thanks for trying. Shoot us a DM and we'll continue this conversation there.,other,False,"Standard issue, safe to auto-handle."
1211798,Please help. What’s up with the top of my iPhone? Does it ALL the time (Click the picture to see what I mean please).,We'd like to help! Send us a DM with the country that you are located in to continue.,hardware_failure,False,"Standard issue, safe to auto-handle."
